,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
25,Suikoden III,PS2,2002.0,Role-Playing,Konami,0.29,0.23,0.38,0.08,0.98,86.0,23.0,7.7,113.0,KCET,T
26,LEGO Harry Potter: Years 5-7,X360,2011.0,Action,Warner Bros. Interactive Entertainment,0.51,0.37,0.0,0.09,0.97,77.0,35.0,7.9,39.0,Traveller's Tales,E10+
27,Wheel of Fortune,PS2,,Misc,Tiger Electronics,0.47,0.36,0.0,0.12,0.95,,,tbd,,Atari,E
28,Yakuza 4,PS3,2019.0,Action,Sega,0.15,0.13,0.63,0.05,0.95,78.0,59.0,8,177.0,Ryu ga Gotoku Studios,M
29,Bentley's Hackpack,GBA,2005.0,Misc,Sony Computer Entertainment,0.67,0.25,0.0,0.02,0.93,,,,,,
30,Teenage Mutant Ninja Turtles,GBA,2003.0,Action,Raw Thrills,0.67,0.25,0.0,0.02,0.93,71.0,16.0,8.8,8.0,Konami,E
31,LEGO Harry Potter: Years 5-7,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,0.36,0.41,0.0,0.15,0.91,76.0,27.0,8.3,48.0,Traveller's Tales,E10+
32,Namco Museum,XB,2008.0,Misc,Bandai Namco Entertainment,0.77,0.11,0.0,0.04,0.91,59.0,7.0,tbd,,Mass Media,E
33,Blitz: The League,PS2,2005.0,Sports,Midway Games,0.74,0.03,0.0,0.12,0.89,76.0,25.0,8,20.0,Midway,M
34,Rhythm Heaven,Wii,2011.0,Misc,Nintendo,0.11,0.0,0.77,0.01,0.88,,,,,,
35,The Lord of the Rings: War in the North,X360,2011.0,Action,Warner Bros. Interactive Entertainment,0.52,0.24,0.0,0.08,0.84,61.0,48.0,7.4,113.0,Snowblind Studios,M
36,Madden NFL 07,PSP,,Sports,EA Sports,0.77,0.03,0.0,0.04,0.83,78.0,18.0,6.6,16.0,EA Tiburon,E
37,The Game of Life,PS,1998.0,Misc,Takara,0.46,0.31,0.0,0.05,0.83,,,,,,
38,MLB SlugFest 20-03,PS2,,Sports,,0.41,0.32,0.0,0.11,0.83,77.0,25.0,8.2,6.0,Midway,E
39,The Lord of the Rings: War in the North,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,0.25,0.42,0.01,0.13,0.82,63.0,33.0,7,100.0,Snowblind Studios,M
40,Shaun White Snowboarding,X360,2008.0,Sports,Ubisoft,0.48,0.25,0.0,0.08,0.81,60.0,48.0,7.6,25.0,Ubisoft Montreal,T
41,Final Fantasy Type-0,PSP,2011.0,Role-Playing,,0.0,0.0,0.81,0.0,0.81,,,,,Square Enix,
42,PES 2009: Pro Evolution Soccer,PSP,,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8,,,,,,
43,WarioWare: Twisted!,GBA,2005.0,Puzzle,KOL,0.16,0.06,0.5,0.02,0.74,,,,,,
44,God Eater,PSP,2010.0,Action,,0.0,0.0,0.72,0.0,0.72,,,,,,
45,Madden NFL 11,Wii,2010.0,Sports,EA Sports,0.68,0.0,0.0,0.04,0.72,75.0,6.0,5.4,7.0,EA Tiburon,E
46,Test Drive Unlimited 2,X360,2011.0,Racing,Atari,0.3,0.31,0.0,0.07,0.68,68.0,61.0,6.4,87.0,Eden,T
47,RIFT,PC,2011.0,Role-Playing,,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,Trion Worlds,T
48,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,2005.0,Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67,66.0,7.0,6.8,5.0,Amaze Entertainment,E
49,LEGO Harry Potter: Years 5-7,DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.34,0.25,0.0,0.07,0.66,69.0,4.0,tbd,,Traveller's Tales,E10+
50,Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.46,0.17,0.0,0.01,0.64,,,,,,
51,SpongeBob SquarePants: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.46,0.17,0.0,0.01,0.64,,,,,,
52,Monster Hunter 2,PS2,2006.0,Role-Playing,Capcom,0.0,0.0,0.63,0.0,0.63,,,,,,
53,Metal Gear Solid 2: Substance,XB,2002.0,Action,Konami Digital Entertainment,0.38,0.22,0.0,0.03,0.62,87.0,28.0,8.5,39.0,KCEJ,M
54,Test Drive Unlimited 2,PS3,2011.0,Racing,Atari,0.16,0.34,0.01,0.12,0.62,70.0,43.0,6.1,44.0,Eden,T
55,Advance Wars: Days of Ruin,DS,2008.0,Strategy,Nintendo,0.43,0.12,0.0,0.05,0.61,86.0,55.0,8.7,96.0,Intelligent Systems,E10+
56,The Golden Compass,Wii,2007.0,Action,Sega,0.26,0.28,0.0,0.07,0.6,35.0,12.0,6.8,6.0,Shiny Entertainment,E10+
57,Madden NFL 06,X360,2005.0,Sports,Electronic Arts,0.54,0.0,0.01,0.03,0.59,74.0,48.0,4.9,44.0,EA Tiburon,E
58,NASCAR: Dirt to Daytona,PS2,2002.0,Racing,Infogrames,0.28,0.22,0.0,0.07,0.58,84.0,10.0,8.8,19.0,Monster Games Inc.,E
59,Madden NFL 2002,XB,2001.0,Sports,EA Sports,0.53,0.02,0.0,0.03,0.58,90.0,16.0,8.1,8.0,EA Sports,E
60,Def Jam: Fight for NY,XB,2004.0,Fighting,Electronic Arts,0.43,0.1,0.0,0.02,0.54,84.0,33.0,8.5,13.0,Aki Corp.,M
61,Two Worlds II,X360,2011.0,Role-Playing,TopWare Interactive,0.4,0.07,0.03,0.03,0.54,67.0,50.0,6.6,140.0,Reality Pump,M
62,NBA Street Vol. 2,GC,2003.0,Sports,Electronic Arts,0.41,0.11,0.0,0.01,0.54,88.0,16.0,8.1,7.0,Electronic Arts,E
63,SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.38,0.14,0.0,0.01,0.53,,,,,,
64,Fishing Derby,2600,1980.0,Sports,Activision,0.48,0.03,0.0,0.01,0.51,,,,,,
65,Wet,X360,,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5,69.0,79.0,7.3,86.0,Artificial Mind and Movement,M
66,Sonic the Hedgehog,PS3,2009.0,Platform,,0.0,0.48,0.0,0.0,0.48,43.0,17.0,4.1,176.0,Sonic Team,E10+
67,Karate,2600,2010.0,Fighting,Ultravision,0.44,0.03,0.0,0.0,0.47,,,,,,
68,Tiger Woods PGA Tour 07,Wii,2006.0,Sports,Electronic Arts,0.43,0.0,0.0,0.04,0.47,71.0,41.0,6.9,44.0,EA Redwood Shores,E
69,Two Worlds II,PS3,2011.0,Role-Playing,TopWare Interactive,0.26,0.1,0.06,0.05,0.46,70.0,28.0,7,65.0,Reality Pump,M
70,Circus Atari,2600,1979.0,Action,Atari,0.43,0.03,0.0,0.0,0.46,,,,,,
71,The Chronicles of Riddick: Escape from Butcher Bay,XB,2004.0,Shooter,Vivendi Games,0.32,0.11,0.0,0.02,0.45,89.0,84.0,8.9,85.0,Starbreeze,M
72,Maze Craze: A Game of Cops 'n Robbers,2600,1978.0,Action,Atari,0.42,0.02,0.0,0.0,0.45,,,,,,
73,Silent Hill: Homecoming,X360,2008.0,Action,Konami Digital Entertainment,0.25,0.15,0.0,0.04,0.45,70.0,54.0,6.9,180.0,Double Helix Games,M
74,Super Breakout,2600,1981.0,Puzzle,Atari,0.41,0.03,0.0,0.0,0.44,,,,,,
75,Robert Ludlum's The Bourne Conspiracy,X360,,Action,Vivendi Games,0.26,0.13,0.0,0.04,0.44,71.0,72.0,7.2,63.0,High Moon Studios,T
76,The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.31,0.11,0.0,0.01,0.43,,,,,,
77,The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.3,0.11,0.0,0.01,0.42,,,,,,
78,NHL Slapshot,Wii,2010.0,Sports,EA Sports,0.39,0.0,0.0,0.02,0.42,76.0,25.0,8.1,7.0,EA Sports,E
79,TERA,PC,,Role-Playing,,0.25,0.12,0.0,0.05,0.42,77.0,41.0,6.8,742.0,Bluehole Studio,M
80,NFL GameDay 2003,PS2,2002.0,Sports,,0.2,0.15,0.0,0.05,0.4,60.0,23.0,tbd,,989 Sports,E
81,LEGO Harry Potter: Years 5-7,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.03,0.4,71.0,7.0,6.5,11.0,Traveller's Tales,E10+
82,Harvest Moon: Save the Homeland,PS2,2001.0,Simulation,Natsume,0.19,0.15,0.0,0.05,0.4,76.0,14.0,8.8,72.0,Victor Interactive Software,E
83,Robert Ludlum's The Bourne Conspiracy,PS3,,Action,Vivendi Games,0.18,0.14,0.0,0.06,0.39,70.0,47.0,7.6,43.0,High Moon Studios,T
84,Silent Hill: Homecoming,PS3,2008.0,Action,Konami Digital Entertainment,0.18,0.14,0.0,0.06,0.38,71.0,41.0,6.9,143.0,Double Helix Games,M
85,Hangman,2600,,Puzzle,Atari,0.35,0.02,0.0,0.0,0.38,,,,,,
86,The Golden Compass,PSP,2007.0,Action,Sega,0.11,0.16,0.0,0.1,0.37,28.0,4.0,4.1,7.0,Shiny Entertainment,E10+
87,NBA Live 2003,XB,2002.0,Sports,Electronic Arts,0.31,0.04,0.0,0.01,0.36,82.0,17.0,8.8,6.0,EA Canada,E
88,Cubix Robots for Everyone: Clash 'n' Bash,GBA,,Action,,0.26,0.1,0.0,0.01,0.36,,,,,,
89,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,,Action,,0.15,0.05,0.14,0.01,0.35,,,,,,
90,Tropico 4,X360,2012.0,Strategy,Kalypso Media,0.2,0.12,0.0,0.03,0.35,77.0,18.0,7.5,37.0,Haemimont,T
91,Tomb Raider (2013),PC,,Action,Square Enix,0.06,0.25,0.0,0.04,0.35,86.0,18.0,8.5,3552.0,"Crystal Dynamics, Nixxes Software",M
92,Bejeweled 3,DS,2010.0,Puzzle,PopCap Games,0.29,0.02,0.0,0.02,0.33,75.0,9.0,tbd,,PopCap,E
93,Custom Robo,N64,2002.0,Role-Playing,Nintendo,0.0,0.0,0.29,0.04,0.33,,,,,,
94,Final Fantasy XI,PS2,2015.0,Role-Playing,Square Enix,0.08,0.06,0.15,0.02,0.32,85.0,49.0,6.9,66.0,Square Enix,T
95,Singularity,X360,2017.0,Shooter,,0.24,0.05,0.0,0.02,0.32,76.0,70.0,7.7,169.0,Raven Software,M
96,Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005.0,Misc,,0.23,0.08,0.0,0.01,0.32,,,,,,
97,Dragster,2600,,Racing,Activision,0.3,0.02,0.0,0.0,0.32,,,,,,
98,All-Star Baseball 2005,PS2,2004.0,Sports,Acclaim Entertainment,0.16,0.12,0.0,0.04,0.32,72.0,13.0,8.6,21.0,Acclaim,E
99,Star Wars Jedi Knight II: Jedi Outcast,XB,,Shooter,Activision,0.23,0.07,0.0,0.01,0.31,81.0,24.0,6.8,15.0,Vicarious Visions,T
100,Slot Machine,2600,1979.0,Action,Atari,0.29,0.02,0.0,0.0,0.31,,,,,,
101,The Dukes of Hazzard II: Daisy Dukes It Out,PS,2000.0,Racing,,0.17,0.11,0.0,0.02,0.3,53.0,5.0,tbd,,Sinister Games,E
102,Harvest Moon: The Tale of Two Towns,3DS,2010.0,Simulation,Marvelous Interactive,0.28,0.0,0.0,0.02,0.3,,,,,,
103,NBA Live 2003,GC,2002.0,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.3,82.0,11.0,8.2,5.0,EA Canada,E
104,Shrek the Third,DS,2007.0,Action,Activision,0.26,0.01,0.0,0.02,0.3,70.0,16.0,6.5,4.0,Vicarious Visions,E
105,Fast Food,2600,1981.0,Action,Codemasters,0.27,0.02,0.0,0.0,0.29,,,,,,
106,Nicktoons: Battle for Volcano Island,GC,2006.0,Action,THQ,0.22,0.06,0.0,0.01,0.29,,,7,4.0,Blue Tongue Entertainment,E
107,Haven: Call of the King,PS2,,Platform,Midway Games,0.14,0.11,0.0,0.04,0.28,69.0,26.0,6.9,15.0,Traveller's Tales,T
108,Unreal Championship 2: The Liandri Conflict,XB,2005.0,Shooter,Midway Games,0.22,0.05,0.0,0.01,0.28,85.0,54.0,8.2,21.0,Epic Games,M
109,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,2005.0,Action,Disney Interactive Studios,0.22,0.06,0.0,0.01,0.28,71.0,17.0,tbd,,Traveller's Tales,T
110,Pac-Man Fever,GC,2002.0,Misc,Namco,0.21,0.06,0.0,0.01,0.28,54.0,10.0,6.3,6.0,Mass Media,E
111,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,,Action,,0.0,0.0,0.27,0.01,0.27,,,,,,
112,M&M's Blast!,GBA,2001.0,Puzzle,Majesco,0.2,0.07,0.0,0.0,0.27,,,,,,
113,Indy 500,2600,,Racing,Atari,0.26,0.01,0.0,0.0,0.27,,,,,,
114,Disgaea 3: Absence of Detention,PSV,2011.0,Role-Playing,Nippon Ichi Software,0.11,0.05,0.07,0.03,0.27,78.0,28.0,7.6,116.0,Nippon Ichi Software,T
115,Flag Capture,2600,1978.0,Action,Atari,0.25,0.02,0.0,0.0,0.27,,,,,,
116,Gun,X360,,Shooter,Activision,0.24,0.01,0.0,0.02,0.27,75.0,53.0,7.5,57.0,Neversoft Entertainment,M
117,Rock Revolution,PS3,2008.0,Misc,Konami,0.25,0.0,0.0,0.02,0.27,42.0,20.0,6.6,12.0,"Zoe Mode, HB Studios Multimedia",T
118,Ultimate NES Remix,3DS,2014.0,Action,Nintendo,0.15,0.09,0.0,0.02,0.27,69.0,16.0,7.6,32.0,Indies Zero,E
119,Sonic X: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.19,0.07,0.0,0.0,0.27,,,,,,
120,LEGO Harry Potter: Years 5-7,PSP,2011.0,Action,Warner Bros. Interactive Entertainment,0.1,0.1,0.0,0.06,0.26,,,tbd,,Traveller's Tales,E10+
121,Dora the Explorer: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.18,0.07,0.0,0.0,0.26,,,,,,
122,College Hoops 2K6,PS2,2005.0,Sports,2K Sports,0.12,0.1,0.0,0.03,0.25,77.0,14.0,7.3,6.0,2K Sports,E
123,Cartoon Network Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.18,0.07,0.0,0.0,0.25,,,,,,
124,Jonah Lomu Rugby Challenge,PS3,2012.0,Sports,Home Entertainment Suppliers,0.0,0.19,0.0,0.06,0.25,64.0,6.0,,,Sidhe Interactive,E
125,Mega Man X Collection,PS2,2006.0,Misc,Capcom,0.12,0.09,0.0,0.03,0.24,73.0,23.0,8.8,14.0,Capcom,E
126,BioShock 2,PC,2016.0,Shooter,Take-Two Interactive,0.02,0.19,0.0,0.04,0.24,88.0,36.0,8,1247.0,2K Marin,M
127,All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.17,0.06,0.0,0.0,0.24,,,,,,
128,Singularity,PS3,2017.0,Shooter,,0.17,0.04,0.01,0.03,0.24,77.0,48.0,7.7,100.0,Raven Software,M
129,Danganronpa: Trigger Happy Havoc,PSP,2010.0,Misc,NIS America,0.0,0.0,0.24,0.0,0.24,,,,,,
130,Jet X20,PS2,,Racing,,0.11,0.09,0.0,0.03,0.23,,,,,,
131,Tony Hawk's Downhill Jam,Wii,2006.0,Sports,Activision,0.21,0.0,0.0,0.02,0.23,69.0,42.0,6.2,13.0,Toys for Bob,E10+
132,Tribes: Aerial Assault,PS2,2002.0,Shooter,,0.11,0.09,0.0,0.03,0.23,73.0,23.0,8.8,47.0,Midway Studios - Austin,T
133,Big Beach Sports 2,Wii,2010.0,Sports,THQ,0.09,0.11,0.0,0.02,0.23,,,tbd,,Jet Black Games,E
134,Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.16,0.06,0.0,0.0,0.22,,,,,,
135,LEGO Harry Potter: Years 5-7,PC,2011.0,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22,80.0,5.0,8.5,44.0,Traveller's Tales,E10+
136,Afrika,PS3,2008.0,Adventure,Magic Games,0.12,0.0,0.08,0.01,0.22,63.0,12.0,6.2,34.0,Rhino Studios,E10+
137,Yoostar2,X360,2011.0,Misc,,0.11,0.09,0.0,0.02,0.21,,,,,,
138,Yu Yu Hakusho: Dark Tournament,PS2,,Fighting,,0.1,0.08,0.0,0.03,0.21,56.0,15.0,8.5,18.0,Digital Fiction,T
139,Ghostbusters II,2600,1990.0,Action,Activision,0.2,0.01,0.0,0.0,0.21,,,,,,
140,Breakaway IV,2600,,Puzzle,Sears,0.2,0.01,0.0,0.0,0.21,,,,,,
141,Robotech: Battlecry,XB,2002.0,Shooter,TDK Mediactive,0.16,0.05,0.0,0.01,0.21,74.0,22.0,7,10.0,Vicious Cycle,T
142,Move Fitness,PS3,2012.0,Sports,Sony Computer Entertainment,0.0,0.16,0.0,0.05,0.21,,,,,,
143,Valkyria Chronicles III: Unrecorded Chronicles,PSP,,Strategy,Sega,0.0,0.0,0.21,0.0,0.21,,,,,Sega,
144,DanceDanceRevolution II,Wii,,Misc,Konami Digital Entertainment,0.2,0.0,0.0,0.01,0.21,,,tbd,,Konami,E10+
145,Now! That's What I Call Music: Dance & Sing,Wii,2011.0,Misc,,0.0,0.17,0.0,0.04,0.21,,,,,,
146,SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004.0,Misc,,0.15,0.05,0.0,0.0,0.21,,,,,,
147,WRC: FIA World Rally Championship,PS3,2010.0,Racing,Black Bean Games,0.0,0.14,0.01,0.04,0.2,68.0,24.0,4.5,4.0,Milestone S.r.l,
148,Famista 64,N64,1997.0,Sports,Namco Bandai Games,0.0,0.0,0.17,0.03,0.2,,,,,,
149,Two Worlds II,PC,2011.0,Role-Playing,TopWare Interactive,0.09,0.09,0.0,0.02,0.2,76.0,31.0,6.5,315.0,Reality Pump,M
150,Dead Space 3,PC,2013.0,Action,Electronic Arts,0.02,0.16,0.0,0.02,0.19,78.0,16.0,6,1096.0,Visceral Games,M
151,Test Drive Unlimited 2,PC,2011.0,Racing,Atari,0.05,0.11,0.0,0.03,0.19,72.0,19.0,5.7,253.0,Eden,T
152,Pet Zombies,3DS,2011.0,Simulation,Majesco Entertainment,0.18,0.0,0.0,0.01,0.19,,,tbd,,1st Playable Productions,T
153,Chibi-Robo! Park Patrol,DS,2007.0,Adventure,,0.0,0.0,0.19,0.0,0.19,78.0,14.0,7.5,13.0,Skip Ltd.,E
154,Thomas the Tank Engine & Friends,GBA,2004.0,Adventure,Alternative Software Ltd.,0.13,0.05,0.0,0.0,0.19,,,,,,
155,Heavy Fire: Afghanistan,PS3,2011.0,Shooter,Mastiff,0.17,0.0,0.0,0.02,0.18,39.0,5.0,3.3,16.0,Teyon,T
156,Star Trek: Legacy,X360,2006.0,Simulation,Ubisoft,0.14,0.02,0.0,0.01,0.18,64.0,41.0,5.5,42.0,Mad Doc Software,E10+
157,Backbreaker,X360,2009.0,Sports,505 Games,0.17,0.0,0.0,0.01,0.18,54.0,29.0,7.6,68.0,NaturalMotion,E
158,Twisted Metal: Small Brawl,PS,2001.0,Action,Sony Computer Entertainment,0.1,0.07,0.0,0.01,0.18,51.0,14.0,7.6,49.0,Incognito Inc.,T
159,Otomedius Excellent,X360,2011.0,Shooter,Konami,0.13,0.0,0.04,0.01,0.18,48.0,8.0,8.1,16.0,Konami,T
160,NBA Starting Five,PS2,2002.0,Sports,,0.09,0.07,0.0,0.02,0.18,53.0,10.0,7.3,7.0,Konami,E
161,Teen Titans,GBA,2003.0,Action,Cartoon Network,0.13,0.05,0.0,0.0,0.17,61.0,9.0,tbd,,Artificial Mind and Movement,E10+
162,Trauma Team,Wii,2010.0,Simulation,Atlus,0.14,0.0,0.02,0.01,0.17,82.0,29.0,8.8,25.0,Atlus,T
163,Backbreaker,PS3,2009.0,Sports,505 Games,0.16,0.0,0.0,0.01,0.17,58.0,25.0,7,52.0,NaturalMotion,E
164,Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.12,0.05,0.0,0.0,0.17,,,,,,
165,James Cameron's Dark Angel,PS2,,Action,Universal Interactive,0.08,0.07,0.0,0.02,0.17,48.0,17.0,6.5,19.0,Radical Entertainment,T
166,Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.12,0.05,0.0,0.0,0.17,,,,,,
167,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.12,0.04,0.0,0.0,0.17,,,,,,
168,Sword of the Samurai,PS2,1989.0,Fighting,Ubisoft,0.0,0.0,0.17,0.0,0.17,,,,,,
169,Stronghold 3,PC,2011.0,Strategy,SouthPeak Interactive,0.06,0.1,0.0,0.0,0.16,47.0,29.0,3,350.0,FireFly Studios,T
170,Splatterhouse,PS3,1988.0,Action,Namco Bandai Games,0.13,0.02,0.0,0.02,0.16,59.0,49.0,7.7,67.0,"Namco Bandai Games America, Namco Bandai Games",M
171,Alone in the Dark: The New Nightmare,PS,2001.0,Adventure,Infogrames,0.09,0.06,0.0,0.01,0.16,77.0,15.0,8.1,40.0,Darkworks,M
172,Vegas Party,Wii,2017.0,Misc,Funbox Media Ltd,0.15,0.0,0.0,0.01,0.16,33.0,6.0,tbd,,Storm City Games,T
173,Jurassic Park: The Game,X360,2011.0,Action,,0.15,0.0,0.0,0.01,0.16,60.0,9.0,3.6,138.0,Telltale Games,T
174,Home Run,2600,,Sports,Atari,0.14,0.01,0.0,0.0,0.15,,,,,,
175,Cartoon Network Collection: Game Boy Advance Video Special Edition,GBA,2005.0,Misc,,0.11,0.04,0.0,0.0,0.15,,,,,,
176,Pokémon: Johto Photo Finish: Game Boy Advance Video,GBA,2004.0,Misc,,0.11,0.04,0.0,0.0,0.15,,,,,,
177,Kids Learn Math: A+ Edition,DS,2011.0,Misc,,0.14,0.0,0.0,0.01,0.15,,,,,,
178,Strawberry Shortcake: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.11,0.04,0.0,0.0,0.15,,,,,,
179,eJay Clubworld,PS2,2003.0,Misc,Empire Interactive,0.07,0.06,0.0,0.02,0.15,69.0,5.0,8.6,10.0,UDS,E
180,All-Star Baseball 2005,XB,2004.0,Sports,Acclaim Entertainment,0.11,0.03,0.0,0.01,0.15,75.0,31.0,8.8,12.0,Acclaim,E
181,Black * Rock Shooter: The Game,PSP,2011.0,Role-Playing,,0.0,0.0,0.15,0.0,0.15,66.0,19.0,7.2,39.0,"Image Epoch, Imageepoch",T
182,Terraria,PC,2011.0,Action,,0.0,0.13,0.0,0.01,0.14,83.0,29.0,8.5,1613.0,Re-Logic,T
183,Bejeweled 3,PS3,2010.0,Puzzle,PopCap Games,0.13,0.0,0.0,0.02,0.14,76.0,5.0,8.2,5.0,PopCap,E
184,Kid Adventures: Sky Captain,Wii,2010.0,Action,,0.09,0.04,0.0,0.01,0.14,,,tbd,,Torus Games,E
185,Our House Party!,Wii,,Simulation,,0.13,0.0,0.0,0.01,0.14,,,,,,
186,Power Gig: Rise of the SixString,PS3,2010.0,Misc,Seven45 Studios,0.13,0.0,0.0,0.01,0.14,36.0,10.0,0.5,4.0,Seven45 Studios,T
187,WCW Backstage Assault,N64,2000.0,Action,Electronic Arts,0.11,0.03,0.0,0.0,0.14,,,,,,
188,Barbie Explorer,PS,2001.0,Platform,,0.08,0.05,0.0,0.01,0.14,,,,,,
189,Bejeweled 3,X360,2010.0,Puzzle,PopCap Games,0.13,0.0,0.0,0.01,0.14,78.0,13.0,8.4,11.0,PopCap,E
190,Disney's Cinderella: Magical Dreams,GBA,2005.0,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,0.14,69.0,7.0,tbd,,Culture Brain,E
